"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","JournalName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","VolumeName","Review1Name","Review2Name","Review3Name"
"882",882,882,"Beverly A. Sanders",51,"Mexican","Be16@gmail.com","Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.",2012,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"distributed programming","computational biology","vision and graphics","computer security","Teruo Hikita",0,"Frank S. de Boer",0,"Giuseppe Serazzi",1,"Neural Computation 23","Teruo Hikita reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Frank S. de Boer reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Giuseppe Serazzi reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems."
"883",883,883,"Pedro V. Silva",53,"Italian","Pe11@gmail.com","Optimal Worst Case Trees.",2014,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"Avionics software","data transformation","algebra","protein structure prediction","Clement H. C. Leung",1,"Malcolm Tyrrell",1,"Lars Jacobsen",1,"ACM Transactions on Algorithms 46","Clement H. C. Leung reviews  Optimal Worst Case Trees.","Malcolm Tyrrell reviews  Optimal Worst Case Trees.","Lars Jacobsen reviews  Optimal Worst Case Trees."
"884",884,884,"Pedro V. Silva",53,"Italian","Pe11@gmail.com","Specification and Verification of Database Dynamics.",2007,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"automata theory","Energy lab","digital technology for older people","Malware","Jan Strejcek",1,"Don Pigozzi",1,"Francesca Rossi",0,"Information Research-An International Electronic Journal 69","Jan Strejcek reviews  Specification and Verification of Database Dynamics.","Don Pigozzi reviews  Specification and Verification of Database Dynamics.","Francesca Rossi reviews  Specification and Verification of Database Dynamics."
"885",885,885,"Pedro V. Silva",53,"Italian","Pe11@gmail.com","Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.",2005,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"database systems","machine learning","Recommender Systems","program analysis","Denis Poitrenaud",0,"Luc Devroye",1,"Nam H. Do",1,"Artificial Intelligence 25","Denis Poitrenaud reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Luc Devroye reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Nam H. Do reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems."
"886",886,886,"Pedro V. Silva",53,"Italian","Pe11@gmail.com","A Lower Time Bound for the Knapsack Problem on Random Access Machines.",2006,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"Recommender Systems","domain-specific languages","Internet of Things","networking","George W. Ernst",0,"Sven Schewe",1,"Kim S. Larsen",1,"Journal of Documentation 28","George W. Ernst reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Sven Schewe reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Kim S. Larsen reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines."
"887",887,887,"Wim H. Hesselink",31,"Finnish","Wi11@gmail.com","Specification and Verification of Database Dynamics.",2009,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"Telemetry","Electronic warfare engineering","Safe Computing","cryptography","Christian Choffrut",1,"Yo-Sub Han",0,"Alfred Schmitt",0,"ACM Transactions on Computer-Human Interaction 50","Christian Choffrut reviews  Specification and Verification of Database Dynamics.","Yo-Sub Han reviews  Specification and Verification of Database Dynamics.","Alfred Schmitt reviews  Specification and Verification of Database Dynamics."
"888",888,888,"Wim H. Hesselink",31,"Finnish","Wi11@gmail.com","Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.",2012,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Optimization","Elementary and special functions","algebra","Data cleaning","Symeon Bozapalidis",1,"Symeon Bozapalidis",0,"Wolfgang Merzenich",0,"Machine Learning 85","Symeon Bozapalidis reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Symeon Bozapalidis reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems.","Wolfgang Merzenich reviews  Information Theoretic Approximations forM/G/1 undG/G/1 Queuing Systems."
"889",889,889,"Wim H. Hesselink",31,"Finnish","Wi11@gmail.com","Splitting forward simulations to copewith liveness.",2008,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"human-centred design in intelligent environments","Image-based Rendering and Animation","Computer Vision","Machine Learning for Computer Vision","Stephan Heilbrunner",0,"Adam L. Buchsbaum",1,"Anton Nijholt",1,"ACM Transactions on Graphics 13","Stephan Heilbrunner reviews  Splitting forward simulations to copewith liveness.","Adam L. Buchsbaum reviews  Splitting forward simulations to copewith liveness.","Anton Nijholt reviews  Splitting forward simulations to copewith liveness."
"890",890,890,"K. V. S. Ramarao",69,"Finnish","K.17@gmail.com","Specification and Verification of Database Dynamics.",2009,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"automata theory","3D Modelling of Humans","Automotive software","Scalable data analysis and query processing","John Darlington",0,"Wlodzimierz Drabent",0,"Tom Chothia",1,"ACM Transactions on Algorithms 46","John Darlington reviews  Specification and Verification of Database Dynamics.","Wlodzimierz Drabent reviews  Specification and Verification of Database Dynamics.","Tom Chothia reviews  Specification and Verification of Database Dynamics."
"891",891,891,"K. V. S. Ramarao",69,"Finnish","K.17@gmail.com","Splitting forward simulations to copewith liveness.",2006,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Privacy","sequence alignment","Deep Learning","language semantics","Giuseppe Della Penna",0,"Wojciech Fraczak",0,"Alain Finkel",1,"ACM Computing Surveys 65","Giuseppe Della Penna reviews  Splitting forward simulations to copewith liveness.","Wojciech Fraczak reviews  Splitting forward simulations to copewith liveness.","Alain Finkel reviews  Splitting forward simulations to copewith liveness."
"892",892,892,"Amr Elmasry",39,"American","Am13@gmail.com","A Lower Time Bound for the Knapsack Problem on Random Access Machines.",2008,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"vision and graphics","Telemetry","Optimization","probabilistic computation","Joakim von Wright",1,"Rainer Kemp",1,"Akhil Kumar 0001",1,"ACM Transactions on Computer Systems 60","Joakim von Wright reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Rainer Kemp reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Akhil Kumar 0001 reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines."
"893",893,893,"Amr Elmasry",39,"American","Am13@gmail.com","Splitting forward simulations to copewith liveness.",2007,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Privacy","Reinforcement Learning","protein structure prediction","Natural Language Processing","Ricardo A. Baeza-Yates",1,"Moon-Jung Chung",1,"Gheorghe Paun",1,"ACM Transactions on Graphics 13","Ricardo A. Baeza-Yates reviews  Splitting forward simulations to copewith liveness.","Moon-Jung Chung reviews  Splitting forward simulations to copewith liveness.","Gheorghe Paun reviews  Splitting forward simulations to copewith liveness."
"894",894,894,"Amr Elmasry",39,"American","Am13@gmail.com","A deterministic skip list for k-dimensional range search.",2007,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"type theory","Robotics","Metadata management","drug discovery","Sanjit A. Seshia",1,"Giora Slutzki",1,"Huei-Jan Shyr",1,"Information Research-An International Electronic Journal 69","Sanjit A. Seshia reviews  A deterministic skip list for k-dimensional range search.","Giora Slutzki reviews  A deterministic skip list for k-dimensional range search.","Huei-Jan Shyr reviews  A deterministic skip list for k-dimensional range search."
"895",895,895,"Amr Elmasry",39,"American","Am13@gmail.com","A Tree-Based Mergesort.",2005,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Medical device software","Secure data processing","program analysis","automated theorem proving","Martin Kutrib",0,"Sanjeev Saxena",0,"J. Ian Munro",1,"Machine Learning 85","Martin Kutrib reviews  A Tree-Based Mergesort.","Sanjeev Saxena reviews  A Tree-Based Mergesort.","J. Ian Munro reviews  A Tree-Based Mergesort."
"896",896,896,"Michael L. Fredman",52,"Swedish","Mi16@gmail.com","A Lower Time Bound for the Knapsack Problem on Random Access Machines.",2010,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Consistency","Numerical linear algebra","Numerical linear algebra","data structures","Jon Louis Bentley",0,"Andreas Malcher",1,"Guy Pujolle",1,"ACM Transactions on Database Systems 50","Jon Louis Bentley reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Andreas Malcher reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines.","Guy Pujolle reviews  A Lower Time Bound for the Knapsack Problem on Random Access Machines."
"897",897,897,"Michael L. Fredman",52,"Swedish","Mi16@gmail.com","Splitting forward simulations to copewith liveness.",2010,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"Malware","Augmented Reality","Delay-tolerant networking","Secure Passwords","Beverly A. Sanders",1,"John K. Lee",1,"Anton Nijholt",1,"Annual Review of Information Science and Technology 37","Beverly A. Sanders reviews  Splitting forward simulations to copewith liveness.","John K. Lee reviews  Splitting forward simulations to copewith liveness.","Anton Nijholt reviews  Splitting forward simulations to copewith liveness."
"898",898,898,"Michael L. Fredman",52,"Swedish","Mi16@gmail.com","On an Exponential Server with General Cyclic Arrivals.",2012,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"Numerical quadrature","using data to design user interfaces","language implementation","protein structure alignment","Ikuo Nakata",0,"Elisabeth Pelz",0,"Flavio Corradini",0,"Annual Review of Information Science and Technology 37","Ikuo Nakata reviews  On an Exponential Server with General Cyclic Arrivals.","Elisabeth Pelz reviews  On an Exponential Server with General Cyclic Arrivals.","Flavio Corradini reviews  On an Exponential Server with General Cyclic Arrivals."
"899",899,899,"Eric C. R. Hehner",30,"British","Er9@gmail.com","On an Exponential Server with General Cyclic Arrivals.",2010,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Italy","593-5-0-100366-6","8.9215/98981221127173","81","173",6,"data transformation","Telephony","domain-specific languages","protein structure prediction","Rajan Suri",1,"Pietro Sala",0,"Horst von Brand",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 81","Rajan Suri reviews  On an Exponential Server with General Cyclic Arrivals.","Pietro Sala reviews  On an Exponential Server with General Cyclic Arrivals.","Horst von Brand reviews  On an Exponential Server with General Cyclic Arrivals."
"900",900,900,"Eric C. R. Hehner",30,"British","Er9@gmail.com","Total lineare Realisierbarkeit endlicher Automaten.",2012,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"3D Modelling of Humans","Internet of Things","database systems","Mobile Protection","Pramod K. Varshney",1,"Alex Kondratyev",1,"Pierpaolo Degano",1,"Journal of Documentation 28","Pramod K. Varshney reviews  Total lineare Realisierbarkeit endlicher Automaten.","Alex Kondratyev reviews  Total lineare Realisierbarkeit endlicher Automaten.","Pierpaolo Degano reviews  Total lineare Realisierbarkeit endlicher Automaten."
"901",901,901,"Lorene E. Gupta",51,"Swedish","Lo12@gmail.com","A deterministic skip list for k-dimensional range search.",2011,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"concurrency","language implementation","Delay-tolerant networking","Image-based Rendering and Animation","Derick Wood",1,"Dirk Janssens",1,"Akhil Kumar 0001",1,"Neural Computation 23","Derick Wood reviews  A deterministic skip list for k-dimensional range search.","Dirk Janssens reviews  A deterministic skip list for k-dimensional range search.","Akhil Kumar 0001 reviews  A deterministic skip list for k-dimensional range search."
"902",902,902,"Lorene E. Gupta",51,"Swedish","Lo12@gmail.com","A Tree-Based Mergesort.",2012,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"Internet of Things","computer security","language implementation","Metadata management","Stefano Varricchio",0,"Alfred Schmitt",0,"Kim S. Larsen",1,"Information Research-An International Electronic Journal 69","Stefano Varricchio reviews  A Tree-Based Mergesort.","Alfred Schmitt reviews  A Tree-Based Mergesort.","Kim S. Larsen reviews  A Tree-Based Mergesort."
"903",903,903,"Lorene E. Gupta",51,"Swedish","Lo12@gmail.com","Total lineare Realisierbarkeit endlicher Automaten.",2006,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"Computational Video","domain-specific languages","protein structure prediction","digital health","Clement H. C. Leung",1,"Margherita Napoli",0,"Hermann K.-G. Walter",1,"Journal of Cryptology 51","Clement H. C. Leung reviews  Total lineare Realisierbarkeit endlicher Automaten.","Margherita Napoli reviews  Total lineare Realisierbarkeit endlicher Automaten.","Hermann K.-G. Walter reviews  Total lineare Realisierbarkeit endlicher Automaten."
"904",904,904,"Andrew J. Malton",23,"Mexican","An18@gmail.com","Online square and cube packing.",2007,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Computational Video","automated theorem proving","Data Breaches","computational complexity","Pramod K. Varshney",1,"Heiko Vogler",0,"Jon Louis Bentley",1,"Quantum Information & Computation 3","Pramod K. Varshney reviews  Online square and cube packing.","Heiko Vogler reviews  Online square and cube packing.","Jon Louis Bentley reviews  Online square and cube packing."
"905",905,905,"Rodney W. Topor",65,"French","Ro4@gmail.com","On an Exponential Server with General Cyclic Arrivals.",2008,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"genome assembly","Deep Learning","probabilistic computation","sequence alignment","Patrick Cousot",0,"Thomas N. Hibbard",0,"Raphael A. Finkel",1,"Machine Learning 85","Patrick Cousot reviews  On an Exponential Server with General Cyclic Arrivals.","Thomas N. Hibbard reviews  On an Exponential Server with General Cyclic Arrivals.","Raphael A. Finkel reviews  On an Exponential Server with General Cyclic Arrivals."
"906",906,906,"Rodney W. Topor",65,"French","Ro4@gmail.com","Total lineare Realisierbarkeit endlicher Automaten.",2007,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Delay-tolerant networking","human-centred design in intelligent environments","Interpolation and approximation","Safe Computing","Carlos R. P. Hartmann",0,"Beverly A. Sanders",0,"Carlo Montangero",0,"Algorithmica 86","Carlos R. P. Hartmann reviews  Total lineare Realisierbarkeit endlicher Automaten.","Beverly A. Sanders reviews  Total lineare Realisierbarkeit endlicher Automaten.","Carlo Montangero reviews  Total lineare Realisierbarkeit endlicher Automaten."
"907",907,907,"Rodney W. Topor",65,"French","Ro4@gmail.com","Online square and cube packing.",2009,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Delay-tolerant networking","Avionics software","domain-specific languages","Numerical quadrature","Erik D. Demaine",0,"Lorene E. Gupta",1,"Eike Best",0,"Journal of Management Information Systems 82","Erik D. Demaine reviews  Online square and cube packing.","Lorene E. Gupta reviews  Online square and cube packing.","Eike Best reviews  Online square and cube packing."
"908",908,908,"Rodney W. Topor",65,"French","Ro4@gmail.com","Replaceability and Computational Equivalence for Monotone Boolean Functions.",2009,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"type theory","database systems","protein structure prediction","Service and cloud computing","Burkhart Wolff",0,"Thomas Eiter",1,"Maw-Shang Chang",1,"ACM Transactions on Database Systems 50","Burkhart Wolff reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions.","Thomas Eiter reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions.","Maw-Shang Chang reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions."
"909",909,909,"Karel Culik II",53,"Italian","Ka5@gmail.com","A Decidability Criterion for van Wijngaarden Grammars.",2008,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"parallel and distributed computation","Recommender Systems","Technology-enhanced learning","automata theory","Stephan Heilbrunner",1,"Damien Pous",0,"Michel Bidoit",1,"Information Research-An International Electronic Journal 69","Stephan Heilbrunner reviews  A Decidability Criterion for van Wijngaarden Grammars.","Damien Pous reviews  A Decidability Criterion for van Wijngaarden Grammars.","Michel Bidoit reviews  A Decidability Criterion for van Wijngaarden Grammars."
"910",910,910,"Karel Culik II",53,"Italian","Ka5@gmail.com","Correctness of Semantic Integrity Checking in Database Management Systems.",2006,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"Computational Video","Recommender Systems","Privacy","Optimization","Jinzhao Wu",0,"Marvin C. Paull",1,"Dominique Potier",1,"IEEE Transactions on Fuzzy Systems 2","Jinzhao Wu reviews  Correctness of Semantic Integrity Checking in Database Management Systems.","Marvin C. Paull reviews  Correctness of Semantic Integrity Checking in Database Management Systems.","Dominique Potier reviews  Correctness of Semantic Integrity Checking in Database Management Systems."
"911",911,911,"Thomas Eiter",34,"Swedish","Th19@gmail.com","Online square and cube packing.",2010,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"language implementation","Deep Learning","language implementation","parallel and distributed computation","Ikuo Nakata",0,"Jianwen Su",1,"Christian Choffrut",0,"ACM Transactions on Database Systems 50","Ikuo Nakata reviews  Online square and cube packing.","Jianwen Su reviews  Online square and cube packing.","Christian Choffrut reviews  Online square and cube packing."
"912",912,912,"Thomas Eiter",34,"Swedish","Th19@gmail.com","Replaceability and Computational Equivalence for Monotone Boolean Functions.",2011,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"database systems","Natural Language Processing","Malware","distributed programming","Gheorghe Paun",1,"Sanjit A. Seshia",1,"Jinzhao Wu",1,"Quantum Information & Computation 3","Gheorghe Paun reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions.","Sanjit A. Seshia reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions.","Jinzhao Wu reviews  Replaceability and Computational Equivalence for Monotone Boolean Functions."
"913",913,913,"Thomas Eiter",34,"Swedish","Th19@gmail.com","Correctness of Semantic Integrity Checking in Database Management Systems.",2014,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"drug design","parallel and distributed computation","data transformation","algebra","Rajamani Sundar",0,"Akhil Kumar 0001",0,"Jean Berstel",1,"Information Research-An International Electronic Journal 69","Rajamani Sundar reviews  Correctness of Semantic Integrity Checking in Database Management Systems.","Akhil Kumar 0001 reviews  Correctness of Semantic Integrity Checking in Database Management Systems.","Jean Berstel reviews  Correctness of Semantic Integrity Checking in Database Management Systems."
"914",914,914,"Thomas Eiter",34,"Swedish","Th19@gmail.com","A Model and a Fast Algorithm for Multiple Errors Spelling Correction.",2005,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"cryptography","parallel and distributed computation","Declarative languages and runtime systems","Security","Nissim Francez",1,"Victor Khomenko",1,"Frank Wm. Tompa",0,"IEEE Transactions on Computers 79","Nissim Francez reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Victor Khomenko reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Frank Wm. Tompa reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction."
"915",915,915,"Frank Wm. Tompa",61,"British","Fr11@gmail.com","A Model and a Fast Algorithm for Multiple Errors Spelling Correction.",2007,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"Telemetry","Internet of Things","Mobile Protection","quantum computation","Andreas Maletti",0,"Annabelle McIver",1,"Frank S. de Boer",1,"ACM Transactions on Computer-Human Interaction 50","Andreas Maletti reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Annabelle McIver reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Frank S. de Boer reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction."
"916",916,916,"Frank Wm. Tompa",61,"British","Fr11@gmail.com","Three Measures for Synchronic Dependence in Petri Nets.",2006,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"coordination and reliability","Malware","networking","pervasive computing and collaboration","Jacques Lenfant",0,"Alfred Schmitt",0,"Moon-Jung Chung",0,"Decision Support Systems 77","Jacques Lenfant reviews  Three Measures for Synchronic Dependence in Petri Nets.","Alfred Schmitt reviews  Three Measures for Synchronic Dependence in Petri Nets.","Moon-Jung Chung reviews  Three Measures for Synchronic Dependence in Petri Nets."
"917",917,917,"J. Ian Munro",25,"Irish","J.12@gmail.com","A Model and a Fast Algorithm for Multiple Errors Spelling Correction.",2005,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"vision and graphics","Augmented Reality","Safe Computing","data structures","T. C. Edwin Cheng",0,"Joost Engelfriet",1,"Eike Best",1,"Journal of Documentation 28","T. C. Edwin Cheng reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Joost Engelfriet reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction.","Eike Best reviews  A Model and a Fast Algorithm for Multiple Errors Spelling Correction."
"918",918,918,"Chung-Hao Huang",24,"Irish","Ch17@gmail.com","Data structures for order-sensitive predicates in parallel nondeterministic systems.",2009,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"type theory","coordination and reliability","3D Scene Analysis","quantum computation","Domenico Parente",1,"Matthias Wendlandt",0,"Tien Van Do",1,"Journal of Documentation 28","Domenico Parente reviews  Data structures for order-sensitive predicates in parallel nondeterministic systems.","Matthias Wendlandt reviews  Data structures for order-sensitive predicates in parallel nondeterministic systems.","Tien Van Do reviews  Data structures for order-sensitive predicates in parallel nondeterministic systems."
"919",919,919,"Chung-Hao Huang",24,"Irish","Ch17@gmail.com","Checking interval properties of computations.",2011,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"Service and cloud computing","computational biology","Elementary and special functions","Secure data processing","George Markowsky",0,"Eric Badouel",1,"S. Kiran Kumar",0,"Information Research-An International Electronic Journal 69","George Markowsky reviews  Checking interval properties of computations.","Eric Badouel reviews  Checking interval properties of computations.","S. Kiran Kumar reviews  Checking interval properties of computations."
"920",920,920,"Sven Schewe",66,"Belgian","Sv8@gmail.com","Checking interval properties of computations.",2010,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Machine Learning for Computer Vision","Data Breaches","Scalable internet services","3D Scene Analysis","Bernhard Mescheder",0,"Zheng-Zhu Li",1,"Andrew J. Malton",0,"Algorithmica 86","Bernhard Mescheder reviews  Checking interval properties of computations.","Zheng-Zhu Li reviews  Checking interval properties of computations.","Andrew J. Malton reviews  Checking interval properties of computations."
"921",921,921,"Sven Schewe",66,"Belgian","Sv8@gmail.com","Labelled transition logic: an outline.",2009,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"quantum computation","coordination and reliability","Malware","automata theory","Bruce Russell",0,"Kuo-Hsiang Chen",1,"George Markowsky",1,"Journal of Management Information Systems 82","Bruce Russell reviews  Labelled transition logic: an outline.","Kuo-Hsiang Chen reviews  Labelled transition logic: an outline.","George Markowsky reviews  Labelled transition logic: an outline."
"922",922,922,"Erol Gelenbe",24,"Greece","Er2@gmail.com","Checking interval properties of computations.",2007,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"cryptography","data transformation","protein structure alignment","sequence alignment","Per Brinch Hansen",1,"Domenico Parente",1,"Jacques Labetoulle",1,"Decision Support Systems 77","Per Brinch Hansen reviews  Checking interval properties of computations.","Domenico Parente reviews  Checking interval properties of computations.","Jacques Labetoulle reviews  Checking interval properties of computations."
"923",923,923,"Erol Gelenbe",24,"Greece","Er2@gmail.com","Labelled transition logic: an outline.",2011,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"Declarative languages and runtime systems","data structures","Optimization","Internet of Things","George W. Ernst",0,"Hans Ulrich Simon",0,"Thierry Fleury",1,"ACM Transactions on Computer Systems 60","George W. Ernst reviews  Labelled transition logic: an outline.","Hans Ulrich Simon reviews  Labelled transition logic: an outline.","Thierry Fleury reviews  Labelled transition logic: an outline."
"924",924,924,"Erol Gelenbe",24,"Greece","Er2@gmail.com","A Multiclass Networt Model of a Demand Paging Computer System.",2013,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Biomedical Image Analysis","protein structure alignment","probabilistic computation","Biomedical Image Analysis","Stavros Konstantinidis",1,"Guangyuan Li",1,"Philippe Darondeau",0,"Journal of Management Information Systems 82","Stavros Konstantinidis reviews  A Multiclass Networt Model of a Demand Paging Computer System.","Guangyuan Li reviews  A Multiclass Networt Model of a Demand Paging Computer System.","Philippe Darondeau reviews  A Multiclass Networt Model of a Demand Paging Computer System."
"925",925,925,"Erol Gelenbe",24,"Greece","Er2@gmail.com","Exploiting colored Petri nets to decide on permutation admissibility.",2011,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"3D Modelling of Humans","Computational Video","program analysis","sequence alignment","Krishnendu Chatterjee",0,"Jan Joris Vereijken",0,"Francesca Rossi",1,"Journal of Documentation 28","Krishnendu Chatterjee reviews  Exploiting colored Petri nets to decide on permutation admissibility.","Jan Joris Vereijken reviews  Exploiting colored Petri nets to decide on permutation admissibility.","Francesca Rossi reviews  Exploiting colored Petri nets to decide on permutation admissibility."
"926",926,926,"Jacques Lenfant",37,"Mexican","Ja10@gmail.com","Labelled transition logic: an outline.",2005,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"3D Scene Analysis","probabilistic computation","data structures","Deep Learning","Peter E. Bulychev",0,"David A. Watt",1,"Erik D. Demaine",0,"Quantum Information & Computation 3","Peter E. Bulychev reviews  Labelled transition logic: an outline.","David A. Watt reviews  Labelled transition logic: an outline.","Erik D. Demaine reviews  Labelled transition logic: an outline."
"927",927,927,"Jacques Lenfant",37,"Mexican","Ja10@gmail.com","Exploiting colored Petri nets to decide on permutation admissibility.",2009,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"artificial intelligence","distributed programming","Recommender Systems","Robotics","Arto Salomaa",0,"Akhil Kumar 0001",0,"Yo-Sub Han",1,"IEEE Transactions on Fuzzy Systems 2","Arto Salomaa reviews  Exploiting colored Petri nets to decide on permutation admissibility.","Akhil Kumar 0001 reviews  Exploiting colored Petri nets to decide on permutation admissibility.","Yo-Sub Han reviews  Exploiting colored Petri nets to decide on permutation admissibility."
"928",928,928,"Jacques Lenfant",37,"Mexican","Ja10@gmail.com","A Robust and Efficient Spatial Data Structure.",2012,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Internet of Things","Optimization","Numerical linear algebra","Numerical quadrature","Denis Poitrenaud",0,"Martin Kutrib",1,"Giuseppe Serazzi",0,"ACM Computing Surveys 65","Denis Poitrenaud reviews  A Robust and Efficient Spatial Data Structure.","Martin Kutrib reviews  A Robust and Efficient Spatial Data Structure.","Giuseppe Serazzi reviews  A Robust and Efficient Spatial Data Structure."
